Date,DISTRICT,mean
1981-01,Adilabad,25.54032704085596
1981-01,Anantapur,0.7832371286156206
1981-01,Chittoor,8.870009300379845
1981-01,Y.s.r.,7.76082524770459
1981-01,East Godavari,8.784799910419698
1981-01,Guntur,6.269198196558266
1981-01,Hyderabad,9.75207536691215
1981-01,Karimnagar,22.019845065322247
1981-01,Khammam,9.292362691547067
1981-01,Krishna,5.4964104496325845
1981-01,Kurnool,1.3356476331314922
1981-01,Mahbubnagar,3.460969252307642
1981-01,Medak,9.795304932735846
1981-01,Nalgonda,9.773163916138852
1981-01,Sri Potti Sriramulu Nellore,12.955867241509333
1981-01,Nizamabad,15.061788774863802
1981-01,Prakasam,7.340537276990938
1981-01,Rangareddy,7.33390162913803
1981-01,Srikakulam,8.773556063749277
1981-01,Visakhapatnam,11.798744758745816
1981-01,Vizianagaram,11.704380313950326
1981-01,Warangal,13.027133679847715
1981-01,West Godavari,6.662632212361976
1981-02,Adilabad,5.581377465372718
1981-02,Anantapur,0.0
1981-02,Chittoor,0.0
1981-02,Y.s.r.,0.0
1981-02,East Godavari,0.0
1981-02,Guntur,0.0
1981-02,Hyderabad,0.0
1981-02,Karimnagar,1.8242424143128186
1981-02,Khammam,0.034654664885955366
1981-02,Krishna,0.0
1981-02,Kurnool,0.0
1981-02,Mahbubnagar,0.0
1981-02,Medak,0.022037226161100182
1981-02,Nalgonda,0.0
1981-02,Sri Potti Sriramulu Nellore,0.0
1981-02,Nizamabad,0.4441699958615128
1981-02,Prakasam,0.0
1981-02,Rangareddy,0.0
1981-02,Srikakulam,0.9803463611864941
1981-02,Visakhapatnam,0.23350674352537346
1981-02,Vizianagaram,0.9762645912914506
1981-02,Warangal,1.0452529885599153
1981-02,West Godavari,0.0
1981-03,Adilabad,25.338061109025446
1981-03,Anantapur,3.7694614550203256
1981-03,Chittoor,9.991452014980215
1981-03,Y.s.r.,4.023391630865679
1981-03,East Godavari,7.374741637941552
1981-03,Guntur,7.852647979251893
1981-03,Hyderabad,16.08810249285404
1981-03,Karimnagar,24.259729343171703
1981-03,Khammam,11.002672065673503
1981-03,Krishna,5.451872940754999
1981-03,Kurnool,3.436141542876228
1981-03,Mahbubnagar,9.272243864068534
1981-03,Medak,20.709845586946184
1981-03,Nalgonda,12.675412486384534
1981-03,Sri Potti Sriramulu Nellore,7.234357964441947
1981-03,Nizamabad,17.754274748749985
1981-03,Prakasam,7.518926410749064
1981-03,Rangareddy,15.45784404708361
1981-03,Srikakulam,18.58033649997591
1981-03,Visakhapatnam,10.945111986585903
1981-03,Vizianagaram,17.84727898684629
1981-03,Warangal,14.861567324821584
1981-03,West Godavari,6.177204008012934
1981-04,Adilabad,11.567878563430124
1981-04,Anantapur,20.187558553783507
1981-04,Chittoor,16.37969756196909
1981-04,Y.s.r.,12.71766769060124
1981-04,East Godavari,29.46453678293459
1981-04,Guntur,16.211985082704864
1981-04,Hyderabad,22.859284041691748
1981-04,Karimnagar,16.260371830240615
1981-04,Khammam,25.638160475447258
1981-04,Krishna,15.026868348849701
1981-04,Kurnool,23.825586383155613
